drug_id,target_id,evidence,created_at,updated_at
RDC01402,TAR0001,,,
RDC01403,TAR0001,,,
RDC01404,TAR0001,,,
RDC01405,TAR0001,,,
RDC01406,TAR0001,,,
RDC01407,TAR0001,,,
RDC01373,TAR0001,,,
RDC01408,TAR0001,,,
RDC01409,TAR0001,,,
RDC01414,TAR0001,,,
RDC01415,TAR0001,,,
RDC01418,TAR0001,,,
RDC01419,TAR0001,,,
RDC01420,TAR0001,,,
RDC01421,TAR0001,,,
RDC01422,TAR0001,,,
RDC01423,TAR0001,,,
RDC01424,TAR0001,,,
RDC01425,TAR0001,,,
RDC01426,TAR0001,,,
RDC01431,TAR0001,,,
RDC01432,TAR0001,,,
RDC01433,TAR0001,,,
RDC01435,TAR0001,,,
RDC01436,TAR0001,,,
RDC01437,TAR0001,,,
RDC01438,TAR0001,,,
RDC01439,TAR0001,,,
RDC01440,TAR0001,,,
RDC01441,TAR0001,,,
RDC01442,TAR0001,,,
RDC01443,TAR0001,,,
RDC01444,TAR0001,,,
RDC01445,TAR0056,,,
RDC01446,TAR0056,,,
RDC01447,TAR0001,,,
RDC01448,TAR0001,,,
RDC01450,TAR0001,,,
RDC01451,TAR0001,,,
RDC01452,TAR0001,,,
RDC01453,TAR0001,,,
RDC01454,TAR0001,,,
RDC01455,TAR0001,,,
RDC01456,TAR0001,,,
RDC01457,TAR0001,,,
RDC01458,TAR0001,,,
RDC01459,TAR0001,,,
RDC01460,TAR0001,,,
RDC01462,TAR0001,,,
RDC01463,TAR0001,,,
RDC01465,TAR0001,,,
RDC01466,TAR0001,,,
RDC01467,TAR0001,,,
RDC01468,TAR0001,,,
RDC01469,TAR0001,,,
RDC01470,TAR0001,,,
RDC01471,TAR0001,,,
RDC01472,TAR0001,,,
RDC01473,TAR0001,,,
RDC01474,TAR0001,,,
RDC01475,TAR0001,,,
RDC01476,TAR0001,,,
RDC01477,TAR0001,,,
RDC01478,TAR0001,,,
RDC01480,TAR0001,,,
RDC01481,TAR0001,,,
RDC01482,TAR0001,,,
RDC01483,TAR0001,,,
RDC01484,TAR0001,,,
